Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2025-02-28,INTRADAY_SELL,15.598590109493502,10.0,9.03177523911446,150.0,290.8829599160191,Volatility Spike
2025-03-03,INTRADAY_BUY,15.639958545782315,5.0,9.351469181100537,145.0,291.2565903345733,Volatility Dip
2025-03-04,GAP_BUY,15.496771495580623,10.0,9.996764880456483,135.0,289.9175810474795,Bearish Gap x2
2025-03-05,INTRADAY_BUY,15.400701670336776,5.0,10.321425412621098,130.0,288.9571935924102,Volatility Dip
2025-03-07,INTRADAY_SELL,15.455239202215648,5.0,9.997910523295852,135.0,289.5200986598864,Volatility Spike
2025-03-10,INTRADAY_SELL,15.6523482393738,10.0,9.359028749962647,145.0,291.4907771767266,Volatility Spike
2025-03-12,INTRADAY_BUY,15.10828479002499,12.5,10.186389378500238,132.5,286.39887171246727,Volatility Dip
2025-03-13,INTRADAY_BUY,14.984228871741642,5.0,10.520073550224907,127.5,285.13518982412563,Volatility Dip
2025-03-14,INTRADAY_BUY,14.833591715209065,5.0,10.857146330438578,122.5,283.55047585800617,Volatility Dip
2025-03-18,INTRADAY_BUY,15.063980543063673,5.0,11.189063912627855,117.5,286.05184107492187,Volatility Dip
2025-03-19,INTRADAY_BUY,15.028533539766045,5.0,11.521764371176909,112.5,285.65522228951363,Volatility Dip
2025-03-20,GAP_BUY,15.034711254882597,5.0,11.854328124163933,107.5,285.7264004674388,Bearish Gap x1
2025-03-24,GAP_SELL,15.014437244226963,10.0,11.188302495807799,117.5,285.4860656927341,Bullish Gap x1
2025-03-25,INTRADAY_BUY,15.097869246239197,5.0,11.519475055223458,112.5,286.4195281690778,Volatility Dip
2025-03-27,INTRADAY_SELL,15.075939040182877,5.0,11.187820755834665,117.5,286.16690370745613,Volatility Spike
2025-03-28,INTRADAY_BUY,14.955017782143111,5.0,11.52215670065515,112.5,284.81405834693714,Volatility Dip
2025-03-31,GAP_BUY,14.799561662889376,10.0,12.197852388661605,102.5,283.02286858081993,Bearish Gap x2
2025-04-01,INTRADAY_BUY,14.892516941073506,5.0,12.533591472913375,97.5,284.1567233428569,Volatility Dip
2025-04-07,INTRADAY_SELL,13.721812917052564,5.0,12.16920813448538,102.5,269.48359737008263,Volatility Spike
2025-04-08,GAP_SELL,13.680416253865472,30.0,9.976292404196593,132.5,268.97983275968573,Bullish Gap x3
2025-04-09,GAP_BUY,12.722430883870535,25.0,11.941325677177069,107.5,259.4226905896738,Bearish Gap x5
2025-04-10,GAP_BUY,13.402868954374332,25.0,13.806597962170997,82.5,267.5480231927096,Bearish Gap x5
2025-04-11,GAP_BUY,13.098463209547113,5.0,14.18832213240462,77.5,263.34521545650495,Bearish Gap x1
2025-04-14,GAP_SELL,13.420775573588458,10.0,13.443208711412796,87.5,267.9182871047804,Bullish Gap x1
2025-04-15,INTRADAY_SELL,13.604455206167328,5.0,13.075682050166314,92.5,270.3875307415738,Volatility Spike
2025-04-16,INTRADAY_BUY,13.624690337876325,5.0,13.442662867785348,87.5,270.6521188900439,Volatility Dip
2025-04-17,INTRADAY_SELL,13.83014336180671,5.0,13.08113371590338,92.5,273.4139546259071,Volatility Spike
2025-04-21,GAP_BUY,13.837597527522476,5.0,13.442468115899853,87.5,273.5114635643755,Bearish Gap x1
2025-04-22,GAP_SELL,13.855650861701308,10.0,12.720740923159942,97.5,273.7541449334601,Bullish Gap x1
2025-04-23,GAP_SELL,14.216709263705766,20.0,11.313945607238377,117.5,278.347075323489,Bullish Gap x2
2025-04-24,INTRADAY_BUY,13.898306528253167,5.0,11.673701667434326,112.5,274.7446840933824,Volatility Dip
2025-04-25,INTRADAY_BUY,13.817292691742503,5.0,12.03556705680891,107.5,273.79895273502257,Volatility Dip
2025-04-28,INTRADAY_BUY,13.844297738266283,5.0,12.396726582162064,102.5,274.12397378333173,Volatility Dip
2025-04-29,INTRADAY_BUY,13.943315598691562,5.0,12.755321348565342,97.5,275.35147112577465,Volatility Dip
2025-04-30,GAP_BUY,13.82856974171643,5.0,13.11689164060477,92.5,273.8878508466403,Bearish Gap x1
2025-05-01,INTRADAY_BUY,13.943313540791696,5.0,13.475486459933212,87.5,275.3929328255419,Volatility Dip
2025-05-02,GAP_SELL,14.117419353784259,10.0,12.767141701631516,97.5,277.73909335111887,Bullish Gap x1
2025-05-05,INTRADAY_BUY,14.006324363110483,5.0,13.124123295829698,92.5,276.3207278628454,Volatility Dip
2025-05-06,GAP_BUY,13.819544966447653,15.0,14.209542536218462,77.5,273.8694120319217,Bearish Gap x3
2025-05-07,INTRADAY_BUY,13.94331294595434,5.0,14.56813737084496,72.5,275.6280984013438,Volatility Dip
2025-05-08,INTRADAY_BUY,13.970318962063274,5.0,14.926039005988555,67.5,276.021525753858,Volatility Dip
2025-05-09,INTRADAY_BUY,13.94331339934139,5.0,15.28463382895482,62.5,275.61843967129244,Volatility Dip
2025-05-12,GAP_SELL,14.406265566259648,20.0,13.896348994969724,82.5,282.69449402295925,Bullish Gap x2
2025-05-13,INTRADAY_BUY,14.348380934836797,5.0,14.244820367642886,77.5,281.89010898326205,Volatility Dip
2025-05-14,INTRADAY_BUY,14.150349900805496,5.0,14.598168520518977,72.5,279.06919247626763,Volatility Dip
2025-05-15,INTRADAY_SELL,14.198254641209363,10.0,13.893856599603307,82.5,279.768513949615,Volatility Spike
2025-05-16,INTRADAY_BUY,14.276368910383999,5.0,14.244085711178256,77.5,280.8538224039102,Volatility Dip
