Date,Open,High,Low,Close,Adj Close,Volume
2023-06-08,630.3314908080858,636.4731598491345,621.6417073322785,635.2410888671875,635.2410888671875,521800
2023-06-09,636.9305337573802,640.7200622623966,632.151622646693,638.806640625,638.806640625,465300
2023-06-12,639.0025047409124,643.2120658023982,636.8090802837407,636.9210815429688,636.9210815429688,435000
2023-06-13,639.6746787938847,646.9177319660513,639.3666467937124,643.1842041015625,643.1842041015625,624000
2023-06-14,644.7054621802203,658.1928408482506,644.061483415945,646.3202514648438,646.3202514648438,678000
2023-06-15,646.9550144600042,665.2586202299284,645.7322864241492,663.8118896484375,663.8118896484375,644400
2023-06-16,667.7880287743969,668.637381156892,655.5606928560055,655.9620971679688,655.9620971679688,1281900
2023-06-20,649.3444480858273,650.063170369862,641.7000481426436,644.9202270507812,644.9202270507812,698100
2023-06-21,644.705525945392,649.7738398527748,640.6733662244117,643.137451171875,643.137451171875,489300
2023-06-22,638.8158528047056,638.9092251720341,630.3781013114879,634.1209716796875,634.1209716796875,361200
2023-06-23,625.6925592232152,637.434519952215,625.3658983326267,635.1197509765625,635.1197509765625,686000
2023-06-26,632.9076620233528,639.3573063681588,632.9076620233528,634.8583984375,634.8583984375,403800
2023-06-27,637.901166039115,642.4841029340142,632.6089067754417,639.0305786132812,639.0305786132812,528600
2023-06-28,639.0306399291961,640.0853661034436,634.8117352322068,639.5719604492188,639.5719604492188,368100
2023-06-29,640.9534380528854,644.8829398571543,636.5478453390499,642.3628540039062,642.3628540039062,524700
2023-06-30,648.8123142608588,649.6150088892641,644.453437461485,645.0974731445312,645.0974731445312,921900
2023-07-03,644.0335377430509,655.3834370519393,643.7908493239158,647.3750610351562,647.3750610351562,376900
2023-07-05,645.5921719699397,653.9552933849932,640.1785689378877,646.6749267578125,646.6749267578125,681400
2023-07-06,639.3665940243424,640.7666668579723,629.8460873618368,635.2877197265625,635.2877197265625,675300
2023-07-07,633.0942571217988,645.8908855938078,632.7768822321274,638.5264892578125,638.5264892578125,435200
2023-07-10,647.6083378312575,657.9688534649385,646.628298293332,649.7924194335938,649.7924194335938,568600
2023-07-11,653.2926243863213,663.6251685533637,653.124622485529,662.8878173828125,662.8878173828125,504900
2023-07-12,674.5270154978977,678.5685746794561,670.9708330868012,677.6351928710938,677.6351928710938,642000
2023-07-13,684.0476003331379,691.0759935069394,678.9886862989426,690.5159301757812,690.5159301757812,928100
2023-07-14,693.5028531081878,694.4362351446725,674.2844919105542,679.5301513671875,679.5301513671875,1064100
2023-07-17,676.2819022944306,684.1689914201778,672.5017166688106,679.3807373046875,679.3807373046875,648400
2023-07-18,677.1872915561594,691.477366952196,675.0498104273903,689.7039184570312,689.7039184570312,790000
2023-07-19,690.6651841354511,702.7898040212992,690.6651841354511,697.5161743164062,697.5161743164062,718900
2023-07-20,694.4548020848009,703.1818998437036,693.0360434021994,700.8577880859375,700.8577880859375,621600
2023-07-21,703.060568138844,705.9354003213322,699.8030744465411,701.1658325195312,701.1658325195312,512300
2023-07-24,701.623192312983,706.5794479704706,700.4937796943357,706.1781005859375,706.1781005859375,385400
2023-07-25,702.4164869479652,702.8178342998154,692.7653506985762,696.321533203125,696.321533203125,610700
2023-07-26,693.7360069655442,699.9149897825359,691.6452408964731,693.6519775390625,693.6519775390625,552800
2023-07-27,696.4148820430919,698.16030159689,679.8753825151565,680.500732421875,680.500732421875,555200
2023-07-28,689.0225721307613,696.536285491656,685.8304217888046,689.1532592773438,689.1532592773438,522800
2023-07-31,690.6932193618817,693.8013968435606,686.6050023410376,689.629150390625,689.629150390625,367700
2023-08-01,684.4675318193135,686.8849587200116,681.83538837083,683.4781494140625,683.4781494140625,359600
2023-08-02,674.3124172790319,675.5724600473517,665.7533212687631,669.6455078125,669.6455078125,649200
2023-08-03,663.1490262302325,665.3891651459895,658.6128047433785,662.8596801757812,662.8596801757812,585500
2023-08-04,662.7665547229554,672.9124123698963,661.8425156703576,662.9625854492188,662.9625854492188,475100
2023-08-07,665.790678227049,670.9429648347179,664.2319463178006,665.081298828125,665.081298828125,387900
2023-08-08,656.5314714599145,656.5314714599145,641.7187060959417,650.5484619140625,650.5484619140625,676900
2023-08-09,648.9430573663317,653.3392493059308,644.9668416730876,645.9842529296875,645.9842529296875,447400
2023-08-10,650.585881020151,659.0516618306568,648.2990839331843,650.5765380859375,650.5765380859375,496900
2023-08-11,647.5523237087915,651.7805137308754,644.2948302709553,649.2697143554688,649.2697143554688,381100
2023-08-14,646.6563092768513,647.9256949831937,642.7641227207513,646.768310546875,646.768310546875,395000
2023-08-15,639.3572891907497,640.402672411294,625.832593926983,627.998046875,627.998046875,519700
2023-08-16,625.3658986124906,631.3955664423214,625.3658986124906,627.4566650390625,627.4566650390625,494700
2023-08-17,629.7622090539057,635.6798192127898,627.6900713263793,629.0994873046875,629.0994873046875,471200
2023-08-18,620.913587033015,630.32209198975,620.913587033015,625.5991821289062,625.5991821289062,530500
2023-08-21,627.4192637820295,631.8528273774534,622.0989760736999,626.8499145507812,626.8499145507812,434300
2023-08-22,626.8498550518204,629.8086591559437,620.334811900471,621.48291015625,621.48291015625,332500
2023-08-23,623.8724101193916,635.0076480180899,622.6776540851366,633.5515747070312,633.5515747070312,386800
2023-08-24,633.5609660803468,642.7080969117009,628.1379627850779,628.3153076171875,628.3153076171875,317900
